,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
mnee_nil,[NONE],[ПУСТО],,,,,,,[无],,,,,
mnee_no_input,[CUSTOM INPUTS DISABLED],[ВВОД ОТКЛЮЧЁН],,,,,,,[自定义按键输入已禁用],,,,,
mnee_input,[CUSTOM INPUTS ENABLED],[ВВОД ВКЛЮЧЁН],,,,,,,[自定义按键输入已启用],,,,,
mnee_axis,[AXIS:$0],[ОСЬ:$0],,,,,,,[轴：$0],,,,,
mnee_static,[STATIC],[НЕИЗМЕНЯЕМО],,,,,,,[锁定],,,,,
mnee_error,[ERROR],[ОШИБКА],,,,,,,[错误],,,,,
mnee_dummy,[DUMMY],[ФИКЦИЯ],,,,,,,[虚拟],,,,,
mnee_no_backups,[NO BACKUPS FOUND],[РЕЗЕРВНЫЕ КОПИИ ОТСУТСТВУЮТ],,,,,,,[未找到备份],,,,,
mnee_tutorial,[PRESS CTRL+M IN-GAME TO OPEN THE MENU],[НАЖМИ CTRL+M В ИГРЕ ЧТОБЫ ОТКРЫТЬ ГЛАВНОЕ ОКНО],,,,,,,[在游戏内按下CTRL+M以开启该菜单],,,,,
mnee_done,[IT IS DONE],[ГОТОВО],,,,,,,[已完成],,,,,
mnee_setup_warning, [Will override this mod's profile!], [Перезапишет профиль этого мода!],,,,,,, [将覆盖此模组的档案！],,,,,
mnee_desc,Standard M-Nee bindings.,Стандартные M-Nee бинды.,,,,,,,标准M-Nee键绑定,,,,,
mnee_no_change,This binding cannot be changed!,Этот бинд не может быть изменён!,,,,,,,此按键绑定无法被更改！,,,,,
mnee_jpad_count,Gamepad Count: [$0],Число Контроллеров: [$0],,,,,,,游戏手柄数量：[$0],,,,,
mnee_jpad_id,CURRENT CTRL ID: ,ТЕКУШИЙ ИДЕНТИФИКАТОР: ,,,,,,,当前控制器ID： ,,,,,
mnee_conflict,CONFLICT -,КОНФЛИКТ -,,,,,,,冲突 -,,,,,
mnee_titleA,primary,основные,,,,,,,主要,,,,,
mnee_titleB,secondary,дополнительные,,,,,,,次要,,,,,
mnee_this_profile,Current Profile,Текущий профиль,,,,,,,当前档案,,,,,
mnee_default,Default Setup,Обычная Настройка,,,,,,,默认预设,,,,,
mnee_default_desc,Sets the bindings to the default setting.,Возвращает клавиши в изначальное положение.,,,,,,,将该按键绑定集合设置为默认。,,,,,
mnee_close,Close,Закрыть,,,,,,,关闭,,,,,
mnee_altA,Show Secondary Bindings,Показать Дополнительные Бинды,,,,,,,显示次要按键绑定,,,,,
mnee_altB,Show Primary Bindings,Показать Основные Бинды,,,,,,,显示主要按键绑定,,,,,
mnee_no_jpads,No controller is present!,Нет ни одного контроллера!,,,,,,,未检测到控制器！,,,,,
mnee_waiting,Waiting for Input...,Ожидание Ввода...,,,,,,,等待按键输入...,,,,,
mnee_keys,Keys detected: ,Обнаруженные клавиши: ,,,,,,,检测到的按键： ,,,,,
mnee_binding_simple,"Press the key you wish to bind to this action.\nOnly one key can be assigned in this mode.\nGUI LMB/RMB are ignored and special keys are ","Нажми клавишу для присвоения её действию.\nТолько одна клавиша может быть присвоена в этом режиме.\nИнтерфейсные ЛКМ/ПКМ игнорируются и специальные клавиши ",,,,,,,"按下你想要绑定到此动作的按键。\n在此模式下只能分配一个按键。\n界面左/右键单击被忽略，特殊键",,,,,
mnee_binding_simple_a,allowed.,разрешаются.,,,,,,,忽略全局左/右鼠标按钮并允许特殊键。,,,,,
mnee_binding_simple_b,disallowed.,запрещаются.,,,,,,,忽略全局鼠标左键/右键并且不允许特殊按键。,,,,,
mnee_binding_advanced,"Hold down the key group you wish to bind to this action.\nOnce at least a single key is pressed, the 5 second autoconfirm timer will start counting down.\nYou can press [ENTER] to confirm the change immediately.","Удерживай группу клавиш для присвоения её действию.\nКак только хотя бы одна из клавиш нажата, начнётся 5-секундный отсчёт до подтверждения.\nНажатие [ВВОД] немедленно подтвердит изменение.",,,,,,,按住你想要绑定到此动作的按键组合。\n一旦至少有一个按键被按下，五秒后将自动确认。\n你可以按下回车来立即确认更改。,,,,,
mnee_binding_axis,Move the axis you wish to bind this action to.,"Смести ось джойстика, чтобы присвоить её этому дествию.",,,,,,,移动你想要绑定到此动作的轴。,,,,,
mnee_no_slot,This slot is already bound!,Этот слот занят!,,,,,,,此槽位已绑定！,,,,,
mnee_open,Open M-Nee,Открыть M-Nee,,,,,,,开启M-Nee,,,,,
mnee_open_desc,Will open this menu.,Покажет это окно.,,,,,,,将开启此菜单。,,,,,
mnee_nope,Toggle M-Nee,Переключить M-Nee,,,,,,,开关M-Nee,,,,,
mnee_nope_desc,Will disable all the custom inputs.,Отключит ввод.,,,,,,,将开关所有自定义按键输入。,,,,,
mnee_frontend,Frontend Mode,Режим Интерфейса,,,,,,,前端模式,,,,,
mnee_frontend_a,Scroller,Лента,,,,,,,丝带,,,,,
mnee_frontend_b,Paged,Страницы,,,,,,,页面,,,,,
mnee_frontend_desc,Changes the global menu behavior.,Изменяет поведение глобального интерфейса.,,,,,,,更改全局菜单行为。,,,,,
mnee_profile,Change Profile,Сменить профиль,,,,,,,更改档案,,,,,
mnee_profile_desc,Switch between first and second binding profiles.,Переключает между первым и вторым профилями.,,,,,,,在第一和第二个配置文件之间切换。,,,,,
mnee_living,Disable Internal Deadzones,Отключить Постоянные Мёртвые Зоны,,,,,,,禁用内部死区,,,,,
mnee_living_desc,"Enabling this will remove all the default developer-defined deadzones, only leaving user-accessible ones (can be changed right below).","При активации уберёт все заданные разработчиками мёртвые зоны, останутся только доступные игроку опции (которые могут быть изменены снизу).",,,,,,,启用这个将移除所有开发者定义的默认死区，只留下用户可访问的（可以在正下方更改）,,,,,
mnee_deadzone,Analog Stick Deadzone,Мёртвая Зона Контроллера,,,,,,,摇杆死区,,,,,
mnee_deadzone_desc,Controls the radius of the zone near the rest position where the inputs do not count.,"Изменяет радиус зоны около позиции покоя, где ввод не считывается.",,,,,,,控制摇杆中心附近使按键输入无效化的区域半径,,,,,
mnee_autoaim,Aim Assist Strength,Степень Помощи в Прицеливании,,,,,,,瞄准辅助力度,,,,,
mnee_autoaim_desc,Controls the degree to which you aim will be offsetted by aim assisting algorithm.,Изменяет степень отконения перекрестья алгоритмом помощи в прицеливании.,,,,,,,控制瞄准辅助算法帮助你瞄准的力度大小,,,,,
mnee_reset,Complete Reset,Полный Сброс,,,,,,,完全重置,,,,,
mnee_alt_help,"For the secondary bindings, seek a button at the top right corner of this window.","Для дополнительных биндов, ищи кнопку в верхнем правом углу этого окна.",,,,,,,关于次要按键绑定，寻找在此窗口右上角的按钮。,,,,,
mnee_doit,do it,Отпусти все кнопки, чтобы продолжить.,,,,,,,松开所有按钮继续,,,,,
mnee_lmb_keys,LMB to open the bindings.,ЛКМ чтобы показать бинды.,,,,,,,左键以开启该按键绑定集合。,,,,,
mnee_lmb_axis,LMB to bind analog sticks. RMB to bind buttons.,ЛКМ чтобы назначить джойстик. ПКМ чтобы назначить клавиши.,,,,,,,左键以绑定摇杆。右键以绑定按钮。,,,,,
mnee_lmb_bind,LMB the binding name to change it.,ЛКМ по названию бинда для переназначения.,,,,,,,左键按键绑定名称以重新绑定。,,,,,
mnee_lmb_unbind,LMB to unbind this action.,ЛКМ для присвоения пустого бинда.,,,,,,,左键以解绑此动作。,,,,,
mnee_lmb_inputA,LMB to enable custom inputs.,ЛКМ чтобы включить ввод.,,,,,,,左键以启用自定义按键输入。,,,,,
mnee_lmb_inputB,LMB to disable custom inputs.,ЛКМ чтобы отключить ввод.,,,,,,,左键以禁用自定义按键输入。,,,,,
mnee_lmb_backup,LMB to backup all the data.\nRMB to load last backup.,ЛКМ чтобы сохранить резервную копию.\nПКМ чтобы загрузить резервную копию.,,,,,,,左键以备份所有数据。\n右键以加载上一个备份。,,,,,
mnee_lmb_jpads,LMB to toggle controller mapping panel.,ЛКМ чтобы переключить панель контроллеров.,,,,,,,左键以开关控制器映射面版。,,,,,
mnee_lmb_setups,LMB to toggle keygroup setup panel.,ЛКМ чтобы переключить панель конфигураций.,,,,,,,左键以开关按键组合预设面版。,,,,,
mnee_lmb_map,LMB to map a new controller.,ЛКМ чтобы добавить новый контроллер.,,,,,,,左键以映射新的控制器。,,,,,
mnee_lmb_unmap,LMB to remove this controller.,ЛКМ чтобы убрать этот контроллер.,,,,,,,左键以移除此控制器。,,,,,
mnee_rmb_dummy,RMB to map dummy instead.,ЛКМ чтобы добавить контроллер-фикцию.,,,,,,,右键以映射虚拟控制器,,,,,
mnee_rmb_advanced,RMB it to enter advanced rebinding mode.,ПКМ по нему чтобы переназначивать в продвинутом режиме.,,,,,,,右键以进入高级重新绑定模式。,,,,,
mnee_rmb_default,RMB to set to default.,ПКМ чтобы установить стандартные настройки.,,,,,,,右键以设置为默认。,,,,,
mnee_rmb_mod,RMB to set selected mod's current profile to default.,ПКМ чтобы установить стандартные настройки для профиля текущего мода.,,,,,,,右键以设置所选模组的当前档案为默认。,,,,,
mnee_rmb_reset,RMB to reset all the saved M-Nee bindings.,ПКМ чтобы полностью сбросить назначенные клавиши.,,,,,,,右键以重置所有保存的M-Nee按键绑定。,,,,,
mnee_rmb_scanA,RMB to enable automatic detection.,ПКМ чтобы включить автоматическое обнаружение.,,,,,,,右键以启用自动检测。,,,,,
mnee_rmb_scanB,RMB to disable automatic detection.,ПКМ чтобы отключить автоматическое обнаружение.,,,,,,,右键以禁用自动检测。,,,,,
mnee_rmb_cancel,RMB to cancel rebinding.,ПКМ чтобы отменить переназначение.,,,,,,,右键以取消重新绑定,,,,,
mnee_rmb_unbind,Secondary binding detected. Primary will be replaced with it upon proceeding.\nRMB to unbind this action fully.,Дополнительный бинд обнаружен. Основной бинд будет заменён на него при продолжении.\nПКМ чтобы полностью обнулить это действие.,,,,,,,检测到次要按键绑定。继续将用它替换主要按键绑定。\n右键以完全解绑这个动作。,,,,,
mnee_error,"[MNEE FRONTEND ERROR]\n{>wave>{Please, Leave a Comment on the Workshop Page!}<wave<}\n[USE CTRL+M TO CLOSE THIS]","[ОШИБКА MNEE ИНТЕРФЕЙСА]\n{>wave>{Пожалуйста, Оставте Комментарий на Странице Воркшопа!}<wave<}\n[CTRL+M ЗАКРОЕТ ЭТО СООБЩЕНИЕ]",,,,,,,"[M-Nee前端错误]\n{>wave>{请在研讨会页面上发表评论！}<wave<}\n[使用CTRL+M关闭此]",,,,,
mnee_reminder,Remind Every New Run,Напоминать Перед Каждой Новой Игрой,,,,,,,每次跑步时提醒,,,,,
mnee_reminder_desc,"Will stop the tip at the bottom of the screen from popping up every new game.","Скроет уведомление снизу экрана, которое появляется в начале каждого нового забега.",,,,,,,"将阻止每次进行新游戏时屏幕底部的提示弹出。",,,,,
mnee_or, or , или ,,,,,,, ／ ,,,,,
mnee_tip,"It seems some of your mods ($0) use M-Nee.\nPress {>color>{{-}|PRSP|BLUE|{-}$1}<color<} if you'd like to change the keybinds.","Похоже, некоторые из твоих модов ($0) используют M-Nee.\nНажми {>color>{{-}|PRSP|BLUE|{-}$1}<color<}, чтобы переназначить стандартные бинды.",,,,,,,"看来您的一些模组使用了 M-Nee。\n如果您想更改按键绑定，请按 {>color>{{-}|PRSP|BLUE|{-}$1}<color<}。",,,,,
mnee_tipA,"Fine, Show Me","Хорошо, Покажи Мне",,,,,,,"好的，给我看看",,,,,
mnee_tipB,"Nope, Who Asked","Я Разве Спрашивал?",,,,,,,"不，谁问的",,,,,
mnee_foldA, (LMB to fold), (ЛКМ чтобы скрыть),,,,,,, (左键单击折叠),,,,,
mnee_foldB, (LMB to unfold), (ЛКМ чтобы показать),,,,,,, (右击展开),,,,,
mnee_help,HELP,РУКОВОДСТВО,,,,,,,用户指南,,,,,
mnee_help1,"This is a custom inputs framework. It enables painless implementation of complex physical interfaces (keyboard/mouse/gamepad) and allows the customization of these means to one's liking.","Это система кастомного ввода. Она позволяет безболезненную реализацию физических интерфейсов (клавиатура/мышь/контроллер) и их дальнейшую настройку по усмотрению пользователя.",,,,,,,"这是一个自定义输入框架。它可以轻松实现复杂的物理接口（键盘/鼠标/游戏手柄），并允许根据个人喜好定制这些接口。",,,,,
mnee_help2,"The system features translations: English, Russian {>wave>{(thanks CrackbeardGunman)}<wave<} and Chinese {>wave>{(thanks ImmortalDamned)}<wave<} languages are supported at the moment. If there's a need in broader coverage, one can always offer their linguistic insight to fill in the blanks.","Система поддерживает локализацию: Английский, Русский {>wave>{(спасибо CrackbeardGunman)}<wave<} и Китайский {>wave>{(спасибо ImmortalDamned)}<wave<} языки включены в данную версию. Если большее языковое покрытие необходимо, помощь с переводом всегда приветствуется.",,,,,,,"该系统提供多种翻译功能：目前支持英语、俄语{>wave>{（感谢 CrackbeardGunman）}<wave<}和中文{>wave>{（感谢 ImmortalDamned）}<wave<}。如果需要更广泛的覆盖范围，欢迎随时提供语言方面的见解来补充。",,,,,
mnee_help3,"To get started, it is recommended to visit Options -> Mod Settings -> M-Nee and follow the instructions provided there. One may also notice dead zone customization, full reset button (solves 99% of issues) and frontend mode switch.","Для начала, рекомендуется ознакомиться с Параметры -> Настройки Модов -> M-Nee. Помимо дальнейших инструкций, там можно найти настройки мертвых зон, кнопку полного сброса (решает 99% проблем) и переключатель режима интерфейса.",,,,,,,"首先，建议前往[选项]->[模组设置]->[M-Nee]，并按照那里提供的说明操作。此外，您还可以看到死区自定义、完全重置按钮（可解决 99% 的问题）以及前端模式切换。",,,,,
mnee_help4,"M-Nee is designed to allow for seamless integration of keyboard+mouse with gamepad inputs. Any of the bindings can be assigned to both device categories interchangeably and the gamepad-exclusive (analogue) part of the input features button-driven (discrete) emulation mode.\n \nThe following tips apply to the main window of the framework and assume that it is already opened though $0.","M-Nee разработано для поддержки органичной интеграции клавиатуры+мыши с вводом с контроллера. Любые бинды могут быть назначены на обе категории девайсов без какой-либо разницы и ввод эксклюзивный для контроллера (аналоговый) имеет полностью кнопочную (дискретную) эмуляцию.\n \nПоследующие сообщения имеют смысл только если главное окно этой системы уже было развернуто на $0.",,,,,,,"M-Nee 的设计旨在实现键盘鼠标与游戏手柄输入的无缝集成。任何绑定都可以互换地分配给两种设备类别，并且游戏手柄专用（模拟）输入部分具有按键驱动（离散）模拟模式。\n \n以下提示适用于系统主窗口，并假设它是通过 $0 打开的。",,,,,
mnee_help5,"While gamepad support is a part of the inherent design of this system, the actual interface still has to be used through point-and-click interface (this will change in the future). In fact, for the best experience, it is recommended to turn off vanilla gamepad support in its entirety - this can be done through Options -> Input -> Gamepad -> set to [Off], else conflicts and critical bugs may be encountered.\n \nTo manage custom gamepad connections (the system supports up to four), navigate to [CTL] button at the bottom right corner.","Хотя поддержка контроллера является ключевым элементом данной системы, непосредственный интерфейс по-прежнему придётся использовать посредством курсора мыши (в будущем это изменится). Кстати, для лучшего впечатления рекомендуется полностьют отключить ванильный котроллер – в Параметры -> Ввод -> Геймпад это можно сделать указав [Выкл.], иначе могут возникнуть конфликты и прочие проблемы.\n \nТеперь, для того чтобы управлять состоянием контроллеров необходимо обращаться к кнопке [CTL], находящейся в нижнем правом углу меню.",,,,,,,"虽然游戏手柄支持是该系统固有设计的一部分，但实际界面仍然需要通过点击界面使用（未来将会有所改变）。事实上，为了获得最佳体验，建议完全关闭原版游戏手柄支持——可以通过[选项]->[输入]->[游戏手柄]-> 设置为“关闭”来完成，否则可能会出现冲突和严重的错误。\n \n要管理自定义游戏手柄连接（系统最多支持四个），请导航至右下角的 [CTL] 按钮。",,,,,
mnee_help6,"The system is supplied with two frontend modes, Scroller and Paged. The latter one is an old classic, offering discrete representation of the bind list. Whereas the former is a modern addition, set as the factory default option, allowing for the continuous browsing. As mentioned previously, one can freely switch between these setups in the settings.","Система поставляется с двумя режимами интерфейса, Лента и Страницы. Второй режим это хорошо известная классика, работает на дискретном представлении списка биндов. В то время как первый режим является современным нововведением, установлен по умолчанию, и располагает беспрерывной прокруткой. Как было упомянуто ранее, пользователь может свободно переключаться между этими вариантами визуализации в настройках.",,,,,,,"该系统提供两种前端模式：滚动模式和分页模式。后者是经典的旧模式，提供绑定列表的离散显示。前者是现代新增功能，设置为出厂默认选项，允许连续浏览。如前所述，您可以在设置中自由切换这两种设置。",,,,,
mnee_help7,"To provide proper flexibility, the input customization is performed on a per-profile case. There are 27 independent profiles in total and one may switch between them either through the $1 hotkey or via the on-screen buttons at the bottom right corner of the window ({>quake>{please note:}<quake<} the [#] profile is used internally as a default fallback, altering it will change the standard behavior of all the others).","Для полноценной гибкости, настройка ввода выполняется для каждого профиля по-отдельности. В целом, система располагает 27 индивидуальными профилями, и пользователь может беспрепятсвенно переключаться между ними всеми либо через $1, либо через экранные кнопки в нижнем правом углу окна ({>quake>{внимание:}<quake<} профиль [#] используется за кулисами в качестве страндартной замены, его изменение повлияет на все остальные профили).",,,,,,,"为了提供适当的灵活性，输入自定义是针对每个配置文件进行的。总共有 27 个独立的配置文件，您可以通过 $1 热键或窗口右下角的屏幕按钮在它们之间切换（{>quake>{请注意：}<quake<}[#] 配置文件在内部用作默认后备，更改它会改变所有其他配置文件的标准行为）。",,,,,
mnee_help8,"In addition to profiles, a user-centric customization option, there are setups, a developer-focused input alteration subsystem. Setups allow one to have many button layout presets and to seamlessly switch between them without taking a hit to customizability. Assuming the mod makes use of the setup system, one should be able to find the [STP] button at the right hand side of the window.","Помимо профилей, вариант настройки нацеленный на пользователей, существуют режимы, система перезаписи биндов для разработчиков. Режимы позволяют иметь множество выкладок и моментально переключаться между ними всеми. Если мод использует систему режимов, то кнопка [STP] должна появиться с правой стороны окна.",,,,,,,"除了配置文件（一个以用户为中心的自定义选项）之外，还有设置（一个以开发者为中心的输入修改子系统）。设置允许你拥有多个按钮布局预设，并在它们之间无缝切换，而不会影响自定义功能。假设该模组使用了设置系统，你应该能够在窗口右侧找到 [STP] 按钮。",,,,,
mnee_help9,"Another feature worth mentioning is the rebinding modes. There are two of them, Simple and Advanced. Where the former is the default way to assign a singular key to a basic action in a straightforward manner, the latter allows for any sort of complicated key groupings yet is more involved during rebinding.","Ещё одна функция стоящая упоминания это режимы переназначения. Всего их два, Простой и Продвинутый. В то время как первый является стандартным способом назначения индивидуальных кнопок для простых биндов в интуитивной манере, второй позволяет назначать любые комбинации через более сложный интерфейс.",,,,,,,"另一个值得一提的功能是重新绑定模式。它有两种模式：简单模式和高级模式。前者是默认的模式，可以直接将单个按键分配给基本操作；而后者允许进行任何复杂的按键组合，但重新绑定的操作会更加复杂。",,,,,
mnee_help10,"Any binding supports secondary inputs, look for the button [A] (or [B]) at the top right corner of the window. This corner is also where one will find [TGL] key, that disables custom inputs in their entirety (except for special developer-handled cases; also triggered via $2), and [RST] button, that will fully reset the system.","Любой бинд поддерживает вторичный ввод, ищи кнопку [A] (или [B]) в верхнем правом углу окна. Этот угол также является местом расположения кнопок [TGL], которая польность отключает кастомный ввод (за исключением специальных случаев установленных разработчиком; также можно переключить на $2), и [RST], которая полностью обнулит систему.",,,,,,,"任何绑定都支持辅助输入，请在窗口右上角找到 [A]（或 [B]）按钮。这里还可以找到 [TGL] 键，该键可完全禁用自定义输入（开发者处理的特殊情况除外；也可以通过 $2 触发），以及 [RST] 按钮，该按钮可完全重置系统。",,,,,
mnee_help11,"Finally, any key can be unbound which will make it disabled until bound once again. The toggle to do so is at the bottom right of the [Rebinding In Progress] window.","Наконец, любой бинд может быть удалён для отключения его действия до тех пор пока он не будет вновь установлен. Переключатель удаления находится в нижнем правом углу окна [Rebinding In Progress].",,,,,,,"最后，您可以解除任意按键的绑定，这将使其处于禁用状态，直到再次绑定为止。解除绑定的开关位于 [Rebinding In Progress] 窗口的右下角。",,,,,